date,item,min_p,p10,p30,p50,p70,p90,max_p
1,430,.79000002,1.0599999,1.14,1.2,1.25,1.35,1.75
2,430,.80000001,1.1,1.15,1.2,1.25,1.37,1.9
3,430,.80000001,1.1,1.15,1.2,1.26,1.38,2
4,430,.80000001,1.1,1.15,1.2,1.27,1.4,2
5,430,.85000002,1.1,1.15,1.2,1.28,1.4,2
6,430,.85000002,1.1,1.17,1.22,1.3,1.4,2
7,430,.85000002,1.1,1.1799999,1.22,1.3,1.4,2
8,430,.88999999,1.1,1.2,1.25,1.3,1.45,1.9
9,430,.88999999,1.1,1.2,1.25,1.3,1.45,2
10,430,.88999999,1.1,1.2,1.25,1.3,1.45,2
11,430,.88999999,1.1,1.2,1.25,1.3,1.45,2
12,430,.88999999,1.1,1.2,1.25,1.3,1.45,1.75
13,430,.88999999,1.1,1.2,1.25,1.3,1.45,1.75
14,430,.88999999,1.1,1.2,1.25,1.3,1.47,1.95
15,430,.88999999,1.1,1.2,1.25,1.3,1.48,2
16,430,.88999999,1.1,1.2,1.25,1.3099999,1.49,2
17,430,.88999999,1.1,1.2,1.25,1.34,1.5,2
18,430,.88999999,1.1,1.2,1.26,1.35,1.5,2
19,430,.89999998,1.1,1.2,1.28,1.35,1.5,2
20,430,.89999998,1.1,1.21,1.29,1.35,1.5,2
21,430,.89999998,1.1,1.21,1.29,1.35,1.5,2
22,430,.89999998,1.1,1.21,1.3,1.35,1.5,2.05
23,430,.89999998,1.1,1.21,1.3,1.35,1.5,2.05
24,430,.89999998,1.15,1.22,1.3,1.35,1.5,2.05
25,430,.89999998,1.15,1.25,1.3,1.37,1.51,2.05
26,430,.85000002,1.15,1.25,1.3,1.37,1.5,2
27,430,.85000002,1.15,1.25,1.3,1.38,1.5,2
28,430,.85000002,1.15,1.25,1.3,1.39,1.51,1.95
29,430,.85000002,1.15,1.25,1.3,1.4,1.54,2
30,430,.85000002,1.15,1.25,1.3150001,1.4,1.545,2
31,430,.69999999,1.15,1.25,1.3200001,1.4,1.55,2
32,430,.69999999,1.15,1.25,1.34,1.4,1.55,2
33,430,.69999999,1.15,1.25,1.34,1.4,1.55,2.05
34,430,.85000002,1.15,1.25,1.34,1.4,1.55,2.05
35,430,.85000002,1.15,1.25,1.35,1.405,1.55,2
36,430,.85000002,1.15,1.25,1.35,1.42,1.55,2.05
37,430,.85000002,1.15,1.25,1.35,1.4299999,1.55,2.05
38,430,.85000002,1.1799999,1.27,1.35,1.45,1.59,2.05
39,430,.85000002,1.2,1.28,1.35,1.45,1.6,2.05
40,430,.85000002,1.2,1.28,1.35,1.45,1.6,2.05
41,430,.85000002,1.2,1.3,1.37,1.45,1.6,2.05
42,430,.89999998,1.2,1.3,1.37,1.45,1.6,2.05
43,430,.89999998,1.2,1.3,1.39,1.46,1.6,2.05
44,430,.89999998,1.2,1.3,1.39,1.45,1.6,2.05
45,430,.89999998,1.2,1.3,1.4,1.47,1.6,2.05
46,430,.94999999,1.2,1.3,1.4,1.48,1.6,2.05
47,430,.89999998,1.2,1.3,1.4,1.48,1.62,2.05
48,430,.89999998,1.2,1.3,1.4,1.5,1.62,2.05
49,430,.89999998,1.2,1.3,1.4,1.5,1.65,2.25
50,430,.89999998,1.2,1.3,1.4,1.5,1.6,2.05
51,430,.89999998,1.2,1.3,1.4,1.5,1.65,2.05
52,430,.89999998,1.2,1.3,1.4,1.5,1.665,2.05
53,430,.89999998,1.2,1.3,1.4,1.5,1.65,2.05
54,430,.89999998,1.2,1.3200001,1.4,1.5,1.7,2.05
55,430,.89999998,1.2,1.3200001,1.4,1.5,1.7,2.05
56,430,.89999998,1.2,1.3099999,1.4,1.5,1.7,2.05
57,430,.89999998,1.2,1.34,1.42,1.5,1.7,2.05
58,430,.89999998,1.2,1.34,1.42,1.5,1.7,2.05
59,430,.94999999,1.2,1.35,1.42,1.5,1.7,2.05
60,430,.94999999,1.2,1.35,1.45,1.5,1.7,2.1500001
61,430,.94999999,1.2,1.35,1.45,1.52,1.7,2.1500001
62,430,.94999999,1.2,1.35,1.45,1.52,1.7,2.1500001
63,430,.94999999,1.2,1.35,1.45,1.52,1.75,2.1500001
64,430,.94999999,1.22,1.35,1.45,1.55,1.75,2.1500001
65,430,.94999999,1.25,1.36,1.45,1.55,1.75,2.2
66,430,.94999999,1.22,1.35,1.45,1.55,1.8,2.2
67,430,.94999999,1.25,1.36,1.45,1.55,1.8,2.3
68,430,.94999999,1.25,1.38,1.47,1.55,1.8,2.3
69,430,.94999999,1.25,1.4,1.5,1.6,1.8,2.29
70,430,.94999999,1.25,1.4,1.5,1.6,1.8,2.3
71,430,.94999999,1.25,1.4,1.5,1.6,1.8,2.3
72,430,.94999999,1.25,1.4,1.5,1.6,1.8,2.3
73,430,.94999999,1.25,1.4,1.5,1.6,1.8,2.3
74,430,.86000001,1.25,1.4,1.5,1.6,1.8,2.5
75,430,.97000003,1.25,1.4,1.5,1.6,1.8,2.5
76,430,.98000002,1.25,1.4,1.5,1.65,1.85,2.5
77,430,.98000002,1.25,1.4,1.5,1.65,1.9,2.5999999
78,430,.98000002,1.3,1.4,1.53,1.65,1.85,2.5
79,430,.98000002,1.3,1.4,1.54,1.65,1.85,2.5
80,430,.98000002,1.3,1.4,1.55,1.66,1.9,2.5
81,430,.98000002,1.3,1.4,1.55,1.6799999,1.9,2.8
82,430,.98000002,1.3,1.45,1.55,1.7,1.9,2.8
83,430,.98000002,1.3,1.45,1.55,1.7,1.9,2.8
84,430,1,1.3,1.45,1.55,1.7,1.9,2.8
85,430,1,1.3,1.45,1.5700001,1.7,1.9,2.8
86,430,1,1.3,1.45,1.58,1.75,1.95,2.95
87,430,1,1.3,1.5,1.6,1.75,1.95,2.95
88,430,1,1.3,1.5,1.6,1.75,2,2.95
89,430,.80000001,1.35,1.5,1.6,1.75,2,2.95
90,430,.80000001,1.335,1.5,1.6,1.75,2,2.95
91,430,.80000001,1.3,1.5,1.65,1.75,2,2.95
92,430,.5,1.3,1.5,1.63,1.75,2,2.95
93,430,.5,1.3200001,1.5,1.63,1.78,2,2.95
94,430,.5,1.35,1.5,1.65,1.8,2,2.95
95,430,.5,1.35,1.5,1.65,1.8,2,2.95
96,430,.5,1.35,1.5,1.65,1.8,2,2.95
97,430,.5,1.35,1.5,1.65,1.8,2,2.95
98,430,.5,1.35,1.51,1.65,1.8,2.05,2.95
99,430,.5,1.35,1.53,1.6900001,1.8,2.05,2.95
100,430,.75,1.35,1.55,1.6900001,1.85,2.0999999,2.95
101,430,1,1.35,1.55,1.6900001,1.8200001,2.0749998,2.95
102,430,1,1.35,1.55,1.7,1.8200001,2.05,2.95
103,430,1,1.35,1.55,1.7,1.8200001,2.0999999,2.95
104,430,1,1.35,1.55,1.7,1.85,2.0999999,2.95
105,430,.99000001,1.35,1.55,1.7,1.85,2.0999999,2.95
106,430,.99000001,1.35,1.55,1.7,1.85,2.0999999,2.95
107,430,.99000001,1.35,1.55,1.7,1.85,2.0999999,3.2
108,430,.99000001,1.35,1.55,1.7,1.85,2.0999999,2.95
109,430,.99000001,1.35,1.55,1.7,1.85,2.0999999,2.95
110,430,1,1.35,1.55,1.7,1.85,2.0999999,2.95
111,430,1,1.35,1.55,1.7,1.85,2.0999999,2.95
112,430,1,1.3,1.58,1.74,1.9,2.0999999,3.5
113,430,1.2,1.38,1.55,1.7,1.8,2,2.25
114,430,1,1.3199999,1.585,1.745,1.9,2.0999999,3.5
115,430,1,1.33,1.6,1.75,1.9,2.0999999,3.5
116,430,1,1.35,1.59,1.75,1.9,2.0999999,3.5
117,430,1,1.35,1.59,1.75,1.9,2.0999999,3.5
118,430,1,1.35,1.59,1.75,1.9,2.0999999,3.5
119,430,1,1.35,1.6,1.75,1.9,2.0999999,3.5
120,430,1,1.35,1.6,1.75,1.9,2.0999999,3.5
121,430,1,1.35,1.6,1.75,1.9,2.1500001,3.5
122,430,.94999999,1.35,1.59,1.75,1.9,2.2,3.5
123,430,.94999999,1.355,1.6,1.76,1.9,2.2,3.5
124,430,.94999999,1.4,1.6,1.78,1.9,2.2,3.4000001
125,430,1,1.4,1.6,1.8,1.95,2.2249999,3.4000001
126,430,1,1.4,1.61,1.8,1.95,2.25,3.4000001
127,430,1,1.4,1.62,1.8,1.95,2.2,3.4000001
128,430,1,1.4,1.6,1.8,1.95,2.2,3.4000001
129,430,1,1.45,1.62,1.8,1.98,2.25,3.4000001
130,430,1,1.5,1.6,1.8,1.99,2.2,3.05
131,430,1,1.5,1.6,1.8,2,2.21,3.05
132,430,1,1.5,1.65,1.8200001,2,2.25,3.05
133,430,1,1.5,1.65,1.8049999,2,2.21,3
134,430,1,1.5,1.65,1.8200001,2,2.21,3
135,430,1,1.5,1.7,1.85,2,2.25,3
136,430,1,1.5,1.7,1.85,2,2.3,2.9000001
137,430,1,1.5,1.7,1.85,2,2.3,2.9000001
138,430,1,1.5,1.7,1.85,2,2.3,2.9000001
139,430,.89999998,1.52,1.7,1.9,2,2.3,2.9000001
140,430,1,1.5,1.7,1.9,2,2.3,2.9000001
141,430,1.1,1.54,1.75,1.9,2,2.3,2.9000001
142,430,1,1.51,1.75,1.9,2,2.3,2.95
143,430,1,1.55,1.75,1.9,2,2.3,2.95
144,430,1,1.54,1.75,1.9,2.01,2.3,2.95
145,430,1.1,1.55,1.77,1.9,2.05,2.3,3
146,430,1.1,1.55,1.8,1.9,2.0999999,2.3,3.0999999
147,430,1.1,1.55,1.8,1.9400001,2.0999999,2.3,3.0999999
148,430,1.15,1.6,1.85,2,2.0999999,2.4000001,3.3
149,430,1.15,1.6,1.85,2,2.1099999,2.4000001,3.3
150,430,1.15,1.6,1.87,2,2.1500001,2.45,3.3
151,430,1.15,1.6,1.85,2,2.1500001,2.45,3.3
152,430,1.15,1.6,1.85,2,2.1500001,2.45,3.3
153,430,1.15,1.6,1.9,2,2.2,2.45,3.3
154,430,1.1,1.6,1.9,2,2.2,2.4000001,3.3
155,430,1.1,1.6,1.9,2,2.2,2.45,3.3
156,430,1.1,1.6,1.9,2,2.2,2.4250002,3.2
157,430,1.1,1.6,1.9,2,2.2,2.45,3.2
158,430,1.15,1.6,1.9,2,2.2,2.45,3.2
159,430,1.15,1.65,1.9,2,2.2,2.45,3.5
160,430,1.15,1.65,1.9,2,2.2,2.45,3.25
161,430,1.15,1.65,1.9,2.01,2.2,2.5,3.3
162,430,1.15,1.65,1.9,2.05,2.2,2.5,3.5999999
163,430,1.15,1.6900001,1.9,2.05,2.2,2.5,3.5999999
164,430,1.15,1.65,1.9,2.05,2.2,2.5,3.5999999
165,430,1.15,1.65,1.9,2.05,2.2,2.5,3.5999999
166,430,1.15,1.65,1.95,2.05,2.2,2.5,3.5999999
167,430,1.15,1.65,1.95,2.05,2.2,2.5,3.5999999
168,430,1.15,1.7,1.95,2.0599999,2.25,2.5,3.5999999
169,430,1.15,1.7,1.95,2.0999999,2.25,2.55,3.6800001
170,430,1.15,1.7,1.99,2.0999999,2.3,2.5999999,4.5
171,430,1.15,1.75,1.99,2.0999999,2.3,2.5999999,4.5
172,430,1.15,1.8,2.01,2.1500001,2.3,2.5999999,4.5
173,430,1.15,1.8,2.05,2.1950002,2.3,2.6500001,4.5
174,430,1.15,1.8,2.05,2.2,2.3,2.6500001,4.5
175,430,1.2,1.8,2.05,2.2,2.3,2.6500001,4.5
176,430,1.2,1.8,2.03,2.2,2.3,2.6500001,4.5
177,430,1.2,1.8,2.05,2.2,2.3,2.6500001,4.5
178,430,1.2,1.8,2.05,2.2,2.3499999,2.6900001,4.5
179,430,1.2,1.85,2.0999999,2.2,2.3499999,2.7,4.5
180,430,1.2,1.85,2.0999999,2.2,2.4000001,2.7,4.5
181,430,1.25,1.9,2.1500001,2.3,2.4000001,2.75,4.5
182,430,1.25,1.9,2.1500001,2.3,2.45,2.75,4.5
183,430,1.25,1.9,2.1500001,2.3,2.45,2.75,4.5
184,430,1.25,1.9,2.2,2.3499999,2.5,2.8,4.5
185,430,1.25,1.9,2.2,2.3499999,2.5,2.8099999,4.5
186,430,1.25,1.9,2.2,2.3499999,2.5,2.8499999,4.5
187,430,1.25,1.9400001,2.2,2.3499999,2.5,2.8499999,4.5
188,430,1.25,1.9,2.2,2.4000001,2.5,2.8499999,4.5
189,430,1.25,1.9,2.2,2.4000001,2.5,2.8499999,3.5
190,430,1.25,1.9400001,2.2,2.4000001,2.5,2.8499999,3.5
191,430,1.25,1.95,2.2,2.4000001,2.5,2.9000001,4.4000001
192,430,1.25,2,2.2,2.4000001,2.5,2.9000001,4.4000001
193,430,1.25,2,2.2,2.4000001,2.55,2.9000001,3.5999999
194,430,1.1,2,2.2,2.4000001,2.55,2.9000001,3.5999999
195,430,1.1,2,2.25,2.4000001,2.55,2.9000001,4.4000001
196,430,1.29,2,2.3,2.45,2.5999999,3,4.4000001
197,430,1.29,2,2.3,2.49,2.5999999,3,4.4000001
198,430,1.29,2,2.3,2.49,2.5999999,3,4.4000001
199,430,1.29,2,2.3,2.5,2.5999999,3,3.7
200,430,1.29,2,2.3,2.5,2.6500001,3,3.7
201,430,1.29,2,2.3,2.5,2.625,3,3.7
202,430,1.29,2,2.3,2.5,2.6500001,3,3.7
203,430,1.29,2,2.3,2.5,2.6900001,3,3.7
204,430,1.29,2,2.3,2.5,2.6900001,3,3.8
205,430,1.29,2,2.3,2.5,2.7,3,3.8
206,430,1.29,2.05,2.3299999,2.5,2.7,3,4
207,430,1.29,2,2.3299999,2.5250001,2.7,3,4
208,430,1.29,2.0999999,2.4000001,2.55,2.75,3.05,5.0599999
209,430,1.3200001,2.0999999,2.4000001,2.55,2.75,3.05,4.5999999
210,430,1.3200001,2.0999999,2.4000001,2.55,2.75,3.05,4.8000002
211,430,1.3200001,2.0999999,2.3800001,2.55,2.75,3.0999999,4.8000002
212,430,1.3200001,2.0999999,2.4000001,2.5999999,2.75,3.0999999,4.8000002
213,430,1.3200001,2.0999999,2.4000001,2.5999999,2.75,3.0999999,4.8000002
214,430,1.3200001,2.0999999,2.4000001,2.5999999,2.79,3.0999999,4.8000002
215,430,1.3200001,2.0999999,2.4000001,2.5999999,2.8,3.0999999,4.8000002
216,430,1.3200001,2.0999999,2.4000001,2.5999999,2.8,3.0999999,4.8000002
217,430,1.3200001,2.0999999,2.4000001,2.5999999,2.8,3.1500001,4.8000002
218,430,1.3200001,2.0999999,2.45,2.6500001,2.8,3.2,4.5
219,430,1.3200001,2.0999999,2.5,2.6500001,2.8499999,3.25,4.5
220,430,1.3200001,2.1500001,2.5,2.7,2.8499999,3.25,4.3000002
221,430,1.3200001,2.1500001,2.5,2.7,2.8499999,3.25,4.3000002
222,430,1.3200001,2.2,2.5,2.7,2.8900001,3.25,4.3000002
223,430,1.3200001,2.165,2.5,2.7,2.9000001,3.25,4.3000002
224,430,1.3200001,2.1800001,2.5,2.7,2.9000001,3.25,4.3000002
225,430,1.3200001,2.2,2.5,2.7,2.9000001,3.25,4.3000002
226,430,1.3200001,2.2,2.5,2.7,2.9000001,3.3,4.3000002
227,430,1.3200001,2.2,2.5,2.75,2.95,3.3499999,4.3000002
228,430,1.3200001,2.2,2.5,2.75,2.95,3.3499999,4.25
229,430,1.3200001,2.2,2.52,2.75,2.95,3.3499999,4.25
230,430,1.3200001,2.2,2.52,2.75,2.95,3.3499999,4.3000002
231,430,1.3200001,2.2,2.55,2.75,2.95,3.3499999,4.3000002
232,430,1.3200001,2.2,2.55,2.75,2.95,3.4000001,4.3000002
233,430,1.3200001,2.2,2.55,2.8,2.95,3.3499999,4.3000002
234,430,1.2,2.2,2.55,2.8,2.95,3.4000001,4.25
235,430,1.2,2.2,2.55,2.8,2.99,3.4250002,4.25
236,430,1.2,2.2,2.5599999,2.8,2.99,3.45,4.25
237,430,1.2,2.2,2.5999999,2.8,3.05,3.45,4.25
238,430,1.3200001,2.2,2.5999999,2.8,3.05,3.45,4.1999998
239,430,1.4,2.2,2.5999999,2.8,3.05,3.49,4.1999998
240,430,1.4,2.2,2.5999999,2.8,3.0999999,3.45,4.3499999
241,430,1.6,2.2,2.5999999,2.8499999,3.0999999,3.45,4.3499999
242,430,1.6,2.25,2.6500001,2.8499999,3.0999999,3.5,4.3499999
243,430,1.6,2.25,2.6500001,2.8499999,3.0999999,3.45,4.3499999
244,430,1.6,2.25,2.6500001,2.8499999,3.0999999,3.5,4.3499999
245,430,1.5,2.2,2.6500001,2.8499999,3.1500001,3.5,4.4499998
246,430,1.5,2.25,2.6500001,2.8499999,3.1500001,3.55,4.4499998
247,430,1.5,2.25,2.6500001,2.9000001,3.1500001,3.55,4.4499998
248,430,1.5,2.25,2.6500001,2.9000001,3.1500001,3.5999999,4.4499998
249,430,1.5,2.2,2.6500001,2.9000001,3.1500001,3.55,4.5500002
250,430,1.5,2.2,2.6500001,2.9000001,3.1500001,3.55,4.5500002
251,430,1.5,2.25,2.6500001,2.9000001,3.2,3.5999999,4.5500002
252,430,1.5,2.25,2.7,2.95,3.2,3.5999999,4.6500001
253,430,1.5,2.25,2.7,2.95,3.25,3.5999999,4.6500001
254,430,1.5,2.25,2.7,3,3.25,3.6500001,4.75
255,430,1.5,2.25,2.7,3,3.25,3.6500001,4.75
256,430,1.55,2.3,2.7,3,3.25,3.6500001,4.75
257,430,1.5,2.3,2.7,3,3.25,3.6500001,4.75
258,430,1.55,2.3,2.7,3,3.3,3.6500001,4.75
259,430,1.55,2.3,2.75,3,3.3,3.6500001,4.8499999
260,430,1.55,2.3,2.75,3,3.3,3.7,4.8499999
